temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,rain,snowfall,snow_depth,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,event_datetime,event_latitude,event_longitude,time,state,county,caused_power_outage,event_type
-3,-11.5,52,0,0,0,0,12.8,20.1,10,9,25.6,1010.1,95,0,9,93,0,1.7,3.3,7.4,0.266,0.276,0.301,0.297,21/01/14 8:15,40.5739937,-74.1304203,21/01/14 8:00,washington,wenatchee area,0,heavy_snow
-5.6,-15.7,45,0,0,0,0.02,12.3,18.7,345,344,33.1,991.5,97,0,23,95,-0.6,0.3,2,6.5,0.367,0.373,0.388,0.372,21/01/14 9:30,41.1519319,-74.0357266,21/01/14 9:00,idaho,upper snake highlands,0,heavy_snow
3.9,-6.1,48,0,0,0,0.01,10.5,15.4,112,111,33.1,923.6,100,5,93,100,2.6,2.1,3.4,5.5,0.459,0.461,0.473,0.494,06/03/14 20:00,36.0001181,-82.1349028,06/03/14 20:00,iowa,cherokee,0,heavy_snow
2.9,-1.5,73,0,0,0,0.53,15.5,23.2,121,123,35.6,949.7,100,24,64,97,-1.4,-1.3,-0.3,1.2,0.211,0.21,0.216,0.25,20/02/14 18:00,45.676627,-90.368792,20/02/14 18:00,washington,washington palouse,0,heavy_snow
0.5,0.5,100,1.1,0.9,0.14,0.03,17.3,30.6,85,87,41.8,997.9,100,100,99,100,2.4,3.6,6.4,11.4,0.497,0.509,0.491,0.488,12/02/14 14:00,33.9510169,-86.5702002,12/02/14 14:00,missouri,nodaway,0,heavy_snow
-1,-1.7,95,2.1,1.6,0.35,0.06,18.7,32.8,91,94,45.4,993.7,100,100,100,100,1.3,3.3,6.3,11,0.488,0.506,0.486,0.478,12/02/14 15:00,34.1142554,-85.6004514,12/02/14 15:00,michigan,kalamazoo,1,heavy_snow
-5.1,-15.6,44,0,0,0,0.01,6.6,9.6,103,103,26.6,978.4,100,0,29,100,-1.2,0,1.7,7,0.466,0.472,0.484,0.494,12/02/14 15:45,37.5997548,-79.1483701,12/02/14 15:00,rhode island,western kent,0,heavy_snow
-7.3,-15.7,51,0,0,0,0.01,11.6,18.4,112,113,29.5,959.6,100,0,16,100,-1.1,-0.2,1.3,6.5,0.458,0.462,0.482,0.471,12/02/14 13:40,37.3088528,-80.7098781,12/02/14 13:00,south dakota,hamlin,0,heavy_snow
-5.7,-16.4,43,0,0,0,0.01,6.1,14.5,135,138,11.9,966.1,0,0,0,0,-0.8,0.5,3.1,8.4,0.275,0.268,0.279,0.21,03/02/14 4:24,37.930344,-98.1055753,03/02/14 4:00,washington,spokane area,0,heavy_snow
-6.3,-17.3,41,0,0,0,0,5.6,13,130,124,11.5,973.7,0,0,0,0,-0.7,0.5,2.9,8.3,0.297,0.288,0.287,0.223,03/02/14 4:24,38.0352315,-97.4486267,03/02/14 4:00,indiana,clark,0,heavy_snow
-6.1,-16.9,42,0,0,0,0,6.4,15.7,106,106,11.5,965.5,0,0,0,0,-0.6,0.6,3.4,8.8,0.257,0.258,0.274,0.206,03/02/14 4:24,37.5420937,-98.122172,03/02/14 4:00,maine,interior waldo,0,heavy_snow
4.8,3,88,0,0,0,0.03,11.9,23.1,355,357,22.7,1012.8,100,100,100,89,0.1,-1.5,0.7,7.1,0.406,0.389,0.388,0.375,03/02/14 3:00,40.4279708,-74.3963102,03/02/14 3:00,indiana,crawford,0,heavy_snow
3.9,1.8,86,0,0,0,0.03,10.9,21,9,13,21.6,1017,100,100,99,100,0.3,-1.3,1,7.3,0.413,0.396,0.396,0.389,03/02/14 5:30,40.2807177,-74.7033717,03/02/14 5:00,idaho,northern panhandle,0,heavy_snow
4.2,2.5,89,0,0,0,0.03,11.9,23.1,355,357,22.7,1016.2,100,100,100,89,-0.1,-0.6,1.9,8.2,0.493,0.464,0.479,0.465,03/02/14 3:00,40.5675084,-74.6189556,03/02/14 3:00,vermont,western franklin,0,heavy_snow
4.6,2.7,87,0,0,0,0.03,11.5,23.5,2,5,22.3,1012.7,100,99,98,70,0.9,-0.8,1.3,7.1,0.317,0.294,0.302,0.294,03/02/14 4:00,40.2371235,-74.3174998,03/02/14 4:00,montana,cascade,0,heavy_snow
4.3,2,85,0.2,0.2,0,0.02,9.5,21.3,351,355,18.4,1016.7,100,98,98,100,1.3,-0.9,1.4,8.1,0.409,0.399,0.39,0.379,03/02/14 5:00,40.2120601,-74.0349892,03/02/14 5:00,minnesota,lincoln,0,heavy_snow
2.3,0.3,87,0,0,0,0.03,10.5,20.4,344,346,24.5,983.6,98,54,92,87,-0.9,-2.1,0.2,5.6,0.445,0.411,0.43,0.426,03/02/14 3:00,40.8679538,-74.5601181,03/02/14 3:00,washington,okanogan valley,0,heavy_snow
2.1,0.8,91,0,0,0,0.03,10.8,21.2,358,1,22.7,1000.4,99,79,95,91,-0.4,-1.6,0.5,5.6,0.395,0.359,0.387,0.38,03/02/14 3:00,40.8602222,-74.9720493,03/02/14 3:00,missouri,putnam,0,heavy_snow
-14.4,-17,80,0,0,0,0.21,8,18.4,185,177,17.3,1004.7,100,85,39,100,-2.1,-1.7,-0.2,2.7,0.235,0.234,0.256,0.268,13/02/14 7:00,43.3260376,-71.6854725,13/02/14 7:00,maine,southern franklin,0,heavy_snow
0.7,0.5,99,0.4,0.4,0,0.02,12.3,21.6,83,87,28.8,993.4,100,100,100,48,1.7,2.5,5.1,10.6,0.492,0.452,0.488,0.473,12/02/14 16:00,34.4776367,-87.3017331,12/02/14 16:00,west virginia,southeast randolph,0,heavy_snow
6.6,0.7,66,0,0,0,0.01,21.3,32.7,34,34,43.2,981.5,100,0,84,100,1.5,-1.3,-0.5,1.9,0.41,0.413,0.379,0.345,11/03/14 22:00,41.4194058,-87.9994754,11/03/14 22:00,washington,okanogan highlands,0,heavy_snow
-4.1,-7.3,78,0,0,0,0.15,18.8,24.9,356,358,37.8,997.2,100,100,16,72,-2.1,-1.7,-0.1,2.7,0.379,0.381,0.383,0.359,01/03/14 17:00,41.4457032,-87.0724971,01/03/14 17:00,illinois,kankakee,0,heavy_snow
7.6,0.9,63,0,0,0,0.01,22.5,32.7,40,40,43.2,981.1,100,0,89,100,0.3,-1.5,-0.4,2,0.418,0.416,0.375,0.336,11/03/14 22:00,41.5853584,-88.4319488,11/03/14 22:00,oklahoma,comanche,1,heavy_snow
0.8,0.2,95,0.1,0.1,0,0.03,12.2,21.5,76,81,33.5,995,100,100,99,90,1.9,3.1,5.9,11,0.504,0.49,0.492,0.495,12/02/14 16:00,34.1335332,-86.8779268,12/02/14 16:00,wyoming,sierra madre range,0,heavy_snow
-2.5,-3.6,92,0,0,0,0.54,6.9,16.8,231,235,11.2,991.7,90,67,71,25,-1.4,-1.3,-0.3,1,0.225,0.224,0.203,0.276,12/03/14 11:00,45.1819994,-69.2292116,12/03/14 11:00,indiana,rush,0,heavy_snow
2.3,-1.3,77,0,0,0,0,19,33.9,350,2,32.4,936.7,81,0,51,77,3.3,3.5,-1,0.9,0.307,0.31,0.282,0.231,18/03/14 9:00,43.2257871,-98.6162758,18/03/14 9:00,new hampshire,northern grafton,0,heavy_snow
2.5,-1.8,73,0,0,0,0,25.3,42.1,15,23,43.9,946.4,100,0,100,96,1.4,0.4,-1.3,0.8,0.322,0.323,0.288,0.265,18/03/14 9:00,43.6660467,-98.1383168,18/03/14 9:00,new hampshire,southern coos,0,heavy_snow
-12.4,-16.2,73,0,0,0,0.5,8.2,9.3,151,152,18.7,971.8,85,14,3,82,-2.7,-2.3,-1,1,0.321,0.307,0.294,0.336,04/03/14 17:55,43.6832277,-92.753704,04/03/14 17:00,south carolina,bamberg,0,heavy_snow
-8.3,-15.4,57,0,0,0,0.46,2.4,2.7,153,157,14,983.1,63,37,14,37,-1.9,-1.5,-0.2,1.7,0.339,0.331,0.318,0.345,04/03/14 18:50,43.6466588,-92.0636359,04/03/14 18:00,california,west slope northern sierra nevada,0,heavy_snow
-8.6,-15.6,57,0,0,0,0.51,2.8,3.6,130,127,15.1,982.7,42,42,10,0,-2.1,-1.7,-0.5,1.2,0.329,0.326,0.323,0.346,04/03/14 18:20,43.9997437,-92.3767816,04/03/14 18:00,virginia,amherst,0,heavy_snow
-4.5,-13.2,51,0,0,0,0.43,4.6,5.9,135,133,12.2,982.2,82,3,1,82,-1.9,-1.5,-0.2,1.7,0.353,0.352,0.34,0.349,04/03/14 21:05,43.2961731,-91.3961856,04/03/14 21:00,virginia,giles,0,heavy_snow
2.5,0.5,87,0,0,0,0.26,12.4,27.4,22,23,22.3,974,100,1,98,100,-0.9,-0.8,0.2,2.1,0.427,0.42,0.38,0.36,12/03/14 1:00,42.2461339,-85.0229223,12/03/14 1:00,maine,southeast aroostook,0,heavy_snow
5.7,-7.8,37,0,0,0,0,12.1,15.2,37,36,31,924.9,5,0,4,0,1.1,0.3,0.8,5.6,0.264,0.25,0.187,0.187,22/02/14 19:00,40.5145053,-99.8185651,22/02/14 19:00,kansas,harvey,0,heavy_snow
0.3,-1.1,90,0.4,0,0.28,0.02,11.5,21.7,104,105,31.3,985.1,100,100,100,98,0.8,1.8,4,9.3,0.446,0.45,0.491,0.496,12/02/14 14:00,35.1680139,-86.1084401,12/02/14 14:00,oregon,jackson county,0,heavy_snow
-5.4,-11.5,62,0,0,0,0.07,14.5,19.1,67,68,25.9,998.2,100,0,100,100,-1.8,-2.1,-0.2,4.8,0.402,0.4,0.391,0.361,04/02/14 17:00,40.9939911,-83.6587588,04/02/14 17:00,new jersey,middlesex,0,heavy_snow
-5.7,-16.6,42,0,0,0,0,6.5,17,90,95,10.8,975.8,0,0,0,0,-0.3,0.9,4,9.6,0.267,0.259,0.259,0.195,03/02/14 4:24,37.1922068,-98.0835849,03/02/14 4:00,washington,okanogan valley,0,heavy_snow
-8.5,-17.2,50,0,0,0,0.01,13.1,20.3,143,143,32.4,884.2,100,0,94,100,-2.8,-1.9,-0.4,4.2,0.467,0.471,0.478,0.497,12/02/14 13:00,36.6512208,-81.2114025,12/02/14 13:00,nevada,northwestern nye,0,heavy_snow
-6.2,-17.3,41,0,0,0,0,5.8,14.3,112,108,11.5,976.6,0,0,0,0,-0.5,0.6,3.1,8.6,0.295,0.289,0.296,0.22,03/02/14 4:24,37.6448148,-97.4641388,03/02/14 4:00,new jersey,western monmouth,0,heavy_snow
